pcode,year,junaug_mm,n_days
NE003002,2017,496.68683713964003,91
NE003002,2018,613.9226725905501,91
NE003002,2019,548.48471583718,91
NE003002,2020,378.65268309115,91
NE003002,2021,458.61285899483,91
NE003002,2022,596.87323369275,91
NE003002,2023,437.36286530842,91
NE003002,2024,565.7224902101,91
NE003002,2025,520.68832219051,91
NE003002,2026,364.05813754951,90
NE003003,1998,297.49717174004996,91
NE003003,1999,316.54222512205,91
NE003003,2000,334.82866591172,91
NE003003,2001,374.8630923069,91
NE003003,2002,328.25479280904,91
NE003003,2003,304.044917035102,91
NE003003,2004,451.498468296105,91
NE003003,2005,431.50880953897,91
NE003003,2006,459.8533298893,91
NE003003,2007,335.72342474404,91
NE003003,2008,331.68650559841,91
NE003003,2009,247.86141422537,91
NE003003,2010,469.85264275927,91
NE003003,2011,285.25464265087,91
NE003003,2012,301.109697864518,91
NE003003,2013,459.93254102753,91
NE003003,2014,425.792296509922,91
NE003003,2015,504.63667865487,91
NE003003,2016,228.54841386067,91
NE003003,2017,222.192065745234,91
NE003003,2018,376.1615008612,91
NE003003,2019,322.9610074681,91
NE003003,2020,415.57641289216,91
NE003003,2021,375.48469434177,91
NE003003,2022,390.69602562608,91
NE003003,2023,321.80272052501,91
NE003003,2024,401.487228747705,91
NE003003,2025,431.6843220654,91
NE003003,2026,290.31846135797,90
NE003004,1998,420.39756406239997,91
NE003004,1999,378.38670534002,91
NE003004,2000,404.5385478243,91
NE003004,2001,416.181922498652,91
NE003004,2002,546.653579376385,91
NE003004,2003,371.81334470248,91
NE003004,2004,554.9150200763199,91
NE003004,2005,466.92563090406003,91
NE003004,2006,496.05757843351,91
NE003004,2007,403.44315603546,91
NE003004,2008,314.27167246627,91
NE003004,2009,346.46340218652,91
NE003004,2010,508.94907023564,91
NE003004,2011,361.807011741,91
NE003004,2012,488.98541187549,91
NE003004,2013,431.34592344661,91
NE003004,2014,347.02017970153,91
NE003004,2015,494.73658293046,91
NE003004,2016,319.45017556949,91
NE003004,2017,420.14897156955,91
