pcode,year,junjul_mm,n_pix
NE001003,2004,2.8499255180358887,9604
NE007008,2004,146.61355590820312,112
NE007010,2004,25.753700256347656,2333
NE003006,2004,249.03941345214844,82
NE005013,2004,128.61810302734375,25
NE005001,2004,80.21300506591797,464
NE007011,2004,160.74484252929688,16
NE006005,2004,134.5738067626953,48
NE002004,2004,65.13406372070312,252
NE002001,2004,51.29234313964844,59
NE001004,2005,7.8394670486450195,4833
NE001005,2005,40.630489349365234,2074
NE008001,2005,266.947509765625,17
NE004003,2005,174.7539825439453,357
NE003004,2005,271.04925537109375,300
NE003002,2005,275.91802978515625,53
NE007004,2005,158.12356567382812,698
NE007009,2005,116.11628723144531,806
NE003001,2005,261.5177001953125,105
NE004008,2005,201.38375854492188,218
NE003007,2005,220.65219116210938,90
NE002003,2005,123.97081756591797,268
NE005010,2005,72.70795440673828,1005
NE005008,2005,243.47091674804688,50
NE001002,2005,12.103281021118164,2096
NE001001,2005,53.148216247558594,1741
NE003008,2005,260.2695007324219,93
NE006010,2005,330.6728515625,213
NE003003,2005,222.2044677734375,279
NE005011,2005,118.62893676757812,371
NE004009,2005,216.6593017578125,178
NE004005,2005,226.315185546875,157
NE005002,2005,197.11563110351562,102
NE005003,2005,242.31463623046875,106
NE001006,2005,33.55153274536133,1062
NE006011,2005,192.1643524169922,314
NE006008,2005,245.3009796142578,304
NE005012,2005,117.56143188476562,593
NE004004,2005,256.5154113769531,33
NE002006,2005,81.1260986328125,330
NE004002,2005,135.7792510986328,192
NE006007,2005,216.93698120117188,141
NE005005,2005,208.81040954589844,125
NE005009,2005,169.87112426757812,389
NE004007,2005,245.49038696289062,1
NE004001,2005,227.13168334960938,58
NE007003,2005,244.91864013671875,145
NE004006,2005,243.60833740234375,125
NE006004,2005,128.88534545898438,214
NE006002,2005,141.25843811035156,100
NE003005,2005,285.4895324707031,51
NE007006,2005,271.904296875,131
NE005004,2005,194.07440185546875,124
NE007007,2005,230.08364868164062,123
NE006009,2005,177.1343994140625,488
NE006003,2005,205.6142578125,44
NE002002,2005,111.16120147705078,180
NE006013,2005,284.85260009765625,202
NE005007,2005,216.6197052001953,151
NE006001,2005,147.7975311279297,429
NE002005,2005,20.978713989257812,3920
NE007005,2005,241.67787170410156,74
NE007001,2005,120.24840545654297,309
NE005006,2005,187.40933227539062,124
NE007002,2005,157.07191467285156,173
NE006012,2005,179.6153564453125,170
NE006006,2005,179.62631225585938,350
NE001003,2005,3.3065083026885986,9604
NE007008,2005,191.08004760742188,112
NE007010,2005,43.11305618286133,2333
NE003006,2005,327.7801818847656,82
NE005013,2005,172.76409912109375,25
NE005001,2005,122.72612762451172,464
NE007011,2005,221.43670654296875,16
NE006005,2005,189.4540252685547,48
NE002004,2005,100.08683776855469,252
NE002001,2005,90.49224090576172,59
NE001004,2006,6.645987510681152,4833
NE001005,2006,19.44991683959961,2074
NE008001,2006,206.5272216796875,17
NE004003,2006,118.21092987060547,357
NE003004,2006,265.0707702636719,300
NE003002,2006,274.5191955566406,53
NE007004,2006,81.78378295898438,698
NE007009,2006,46.70165252685547,806
NE003001,2006,236.45553588867188,105
NE004008,2006,119.46977233886719,218
NE003007,2006,219.4654541015625,90
NE002003,2006,84.88368225097656,268
NE005010,2006,35.87287521362305,1005
NE005008,2006,182.74371337890625,50
NE001002,2006,10.046280860900879,2096
NE001001,2006,27.008628845214844,1741
NE003008,2006,257.2791442871094,93
NE006010,2006,279.9023132324219,213
NE003003,2006,188.4390869140625,279
NE005011,2006,72.94410705566406,371
NE004009,2006,118.56096649169922,178
NE004005,2006,155.87918090820312,157
NE005002,2006,146.44052124023438,102
NE005003,2006,179.02212524414062,106
NE001006,2006,18.257431030273438,1062
NE006011,2006,124.86775970458984,314
NE006008,2006,205.57696533203125,304
NE005012,2006,86.96544647216797,593
NE004004,2006,164.23675537109375,33
NE002006,2006,43.52285385131836,330
NE004002,2006,98.01128387451172,192
NE006007,2006,166.3157958984375,141
NE005005,2006,159.89756774902344,125
NE005009,2006,124.15010070800781,389
NE004007,2006,172.47128295898438,1
NE004001,2006,152.67532348632812,58
NE007003,2006,161.68124389648438,145
NE004006,2006,183.54698181152344,125
NE006004,2006,104.05152130126953,214
NE006002,2006,78.47993469238281,100
NE003005,2006,257.9134216308594,51
NE007006,2006,160.27615356445312,131
NE005004,2006,152.19558715820312,124
NE007007,2006,120.98090362548828,123
NE006009,2006,125.33672332763672,488
NE006003,2006,197.53720092773438,44
NE002002,2006,70.04092407226562,180
NE006013,2006,221.84173583984375,202
NE005007,2006,154.63677978515625,151
NE006001,2006,108.98278045654297,429
NE002005,2006,9.179546356201172,3920
NE007005,2006,140.2433624267578,74
NE007001,2006,67.41748809814453,309
NE005006,2006,155.3269500732422,124
NE007002,2006,69.22588348388672,173
NE006012,2006,111.3180160522461,170
NE006006,2006,168.50466918945312,350
NE001003,2006,2.6743626594543457,9604
NE007008,2006,95.18560791015625,112
NE007010,2006,17.363191604614258,2333
NE003006,2006,306.3936462402344,82
NE005013,2006,121.56295776367188,25
NE005001,2006,89.19725799560547,464
NE007011,2006,109.07669067382812,16
NE006005,2006,110.6863784790039,48
NE002004,2006,69.44744873046875,252
NE002001,2006,50.069549560546875,59
NE001004,2007,8.82365608215332,4833
NE001005,2007,40.99004364013672,2074
NE008001,2007,237.90155029296875,17
NE004003,2007,125.77984619140625,357
NE003004,2007,241.68568420410156,300
NE003002,2007,239.94862365722656,53
NE007004,2007,110.47083282470703,698
NE007009,2007,86.50041961669922,806
NE003001,2007,239.04591369628906,105
NE004008,2007,141.14675903320312,218
NE003007,2007,222.70547485351562,90
NE002003,2007,113.31382751464844,268
NE005010,2007,60.88954162597656,1005
NE005008,2007,148.966552734375,50
NE001002,2007,19.053007125854492,2096
NE001001,2007,53.98481369018555,1741
NE003008,2007,204.75384521484375,93
NE006010,2007,256.82611083984375,213
NE003003,2007,193.2911376953125,279
NE005011,2007,72.24195861816406,371
NE004009,2007,134.80841064453125,178
NE004005,2007,157.9689178466797,157
NE005002,2007,145.10743713378906,102
NE005003,2007,166.77435302734375,106
NE001006,2007,40.00777816772461,1062
