season_year,fc_log,fc_log_dt,pcode,adm_level,trimester
1986,0.7814842704337985,0.927223849026453,NE008001,2,ASO
1987,0.9183453275641985,1.0555119897690508,NE008001,2,ASO
1988,1.1449120015923246,1.2735057474093714,NE008001,2,ASO
1989,1.2070531544344685,1.3270739838637131,NE008001,2,ASO
1990,0.637222839499433,0.7486707525408756,NE008001,2,ASO
1991,1.0133100045313936,1.1161850011850305,NE008001,2,ASO
1992,0.8273807038688106,0.9216827841346453,NE008001,2,ASO
1993,0.9377252264228542,1.0234543903008868,NE008001,2,ASO
1994,1.2947208521768874,1.3718770996671144,NE008001,2,ASO
1995,1.1810314950128806,1.2496148261153055,NE008001,2,ASO
1996,0.9329481795849224,0.9929585942995451,NE008001,2,ASO
1997,0.9313720206566184,0.982809518983439,NE008001,2,ASO
1998,1.1967452518974473,1.2396098338364623,NE008001,2,ASO
1999,1.379466120778788,1.4137577863300008,NE008001,2,ASO
2000,0.4841860337333007,0.5099047828967115,NE008001,2,ASO
2001,1.060013738517963,1.0771595712935682,NE008001,2,ASO
2002,1.0236581422898292,1.0322310586776322,NE008001,2,ASO
2003,1.2111992683446131,1.211199268344614,NE008001,2,ASO
2004,0.9134727829935324,0.9048998666057276,NE008001,2,ASO
2005,1.0104072808027895,0.9932614480271826,NE008001,2,ASO
2006,1.2060521447592492,1.1803333955958402,NE008001,2,ASO
2007,1.1978077984547983,1.1635161329035837,NE008001,2,ASO
2008,1.1314698510910628,1.088605269152046,NE008001,2,ASO
2009,0.8395254793017745,0.7880879809749556,NE008001,2,ASO
2010,1.354425109525717,1.294414694811096,NE008001,2,ASO
2011,1.063089722535954,0.9945063914335273,NE008001,2,ASO
2012,1.0674155427372711,0.9902592952470424,NE008001,2,ASO
2013,1.232623644998131,1.1468944811201,NE008001,2,ASO
2014,1.266568010904628,1.1722659306387915,NE008001,2,ASO
2015,1.3758710535653242,1.2729960569116856,NE008001,2,ASO
2016,1.019818744536613,0.9083708314951722,NE008001,2,ASO
2017,0.8684288251532108,0.7484079957239644,NE008001,2,ASO
2018,1.179930873037167,1.0513371272201184,NE008001,2,ASO
2019,1.030316676463743,0.8931500142588924,NE008001,2,ASO
2020,1.1720521322593858,1.026312553666733,NE008001,2,ASO
2021,1.0166843531336331,0.8623718581531747,NE008001,2,ASO
2022,1.3361082789647563,1.1732228675964957,NE008001,2,ASO
2023,1.1760430253108507,1.004584697554788,NE008001,2,ASO
2024,1.282761991240149,1.1027307470962806,NE008001,2,ASO
2025,1.104070705416274,0.9154665448846036,NE008001,2,ASO
2026,0.8104335786102213,0.6132565016907487,NE008001,2,ASO
1981,0.4203121986567363,0.5891461975508392,NE008001,2,SON
1982,0.07231038617898117,0.23347011239607984,NE008001,2,SON
1983,0.2150708232235217,0.36855627676361435,NE008001,2,SON
