pcode,year,n_rain,rain_rp,veg_rp,cdi
NE007001,2008,4,1.4969656102494944,2.2,0
NE007001,2009,4,7.4496644295302,4.888888888888888,1
NE007001,2010,4,1.1478630209715954,1.3333333333333333,0
NE007001,2011,4,2.3468286099865048,2.2,0
NE007001,2012,4,2.391592920353982,1.3333333333333333,0
NE007001,2013,4,2.6367157242447714,1.5714285714285714,0
NE007001,2014,4,1.3553113553113554,2.588235294117647,0
NE007001,2015,4,2.569444444444444,2.0952380952380953,0
NE007001,2016,4,1.3491419656786272,2.0,0
NE007001,2017,4,2.084507042253521,2.444444444444444,0
NE007001,2018,4,1.3470404984423674,1.375,0
NE007001,2019,4,1.8725099601593624,1.7599999999999998,0
NE007001,2020,4,2.6328538985616956,1.1891891891891893,0
NE007001,2021,4,1.2071778140293636,1.4193548387096773,0
NE007001,2022,4,1.8573351278600267,1.375,0
NE007001,2023,4,2.5429553264604814,1.4666666666666668,0
NE007001,2024,4,1.0247495580436063,1.1891891891891893,0
NE007001,2025,4,1.192320877613987,1.2941176470588236,0
NE007001,2026,4,3.0954994511525795,2.2,0
NE007002,1991,3,1.5416666666666665,11.0,5
NE007002,1992,3,1.8800000000000001,3.142857142857143,0
NE007002,1993,3,2.9375,3.666666666666667,0
NE007002,1994,3,1.3703703703703705,1.1891891891891893,0
NE007002,1995,3,2.4666666666666663,14.666666666666668,5
NE007002,1996,3,11.75,8.8,4
NE007002,1997,3,4.111111111111111,7.333333333333334,5
NE007002,1998,4,1.766109785202864,1.8333333333333335,0
NE007002,1999,4,2.6328538985616956,1.2941176470588236,0
NE007002,2000,4,1.7831325301204821,3.142857142857143,0
NE007002,2001,4,1.4699915469146239,1.9130434782608696,0
NE007002,2002,4,2.420937840785169,2.9333333333333336,0
NE007002,2003,4,1.1496633868461936,1.6296296296296295,0
NE007002,2004,4,3.8903803131991053,3.666666666666667,0
NE007002,2005,4,1.3304615384615384,7.333333333333334,5
NE007002,2006,4,8.676923076923076,11.0,3
NE007002,2007,4,2.330578512396694,3.3846153846153846,0
NE007002,2008,4,2.1090458488228006,2.2,0
NE007002,2009,4,16.76847290640394,4.888888888888888,2
NE007002,2010,4,1.122611464968153,1.3333333333333333,0
NE007002,2011,4,3.295256534365925,2.2,0
NE007002,2012,4,1.7507886435331232,1.3333333333333333,0
NE007002,2013,4,3.318495778971604,1.5714285714285714,0
NE007002,2014,4,1.9016759776536314,2.588235294117647,0
NE007002,2015,4,4.900662251655629,2.0952380952380953,0
NE007002,2016,4,1.5267778753292363,2.0,0
NE007002,2017,4,1.7336683417085426,2.444444444444444,0
NE007002,2018,4,1.2897196261682242,1.375,0
NE007002,2019,4,1.4873417721518989,1.7599999999999998,0
NE007002,2020,4,1.408940397350993,1.1891891891891893,0
NE007002,2021,4,1.316925407042787,1.4193548387096773,0
NE007002,2022,4,1.5279151943462896,1.375,0
NE007002,2023,4,1.6180758017492711,1.4666666666666668,0
NE007002,2024,4,1.0626336694164376,1.1891891891891893,0
NE007002,2025,4,1.79902755267423,1.2941176470588236,0
NE007002,2026,4,2.4955752212389384,2.2,0
NE007003,1991,3,1.761904761904762,11.0,5
NE007003,1992,3,1.1935483870967742,3.142857142857143,0
NE007003,1993,3,2.1363636363636362,3.666666666666667,0
NE007003,1994,3,1.9473684210526316,1.1891891891891893,0
NE007003,1995,3,1.5416666666666665,14.666666666666668,5
NE007003,1996,3,4.181818181818182,8.8,5
NE007003,1997,3,1.6206896551724137,7.333333333333334,5
NE007003,1998,4,1.8359375,1.8333333333333335,0
NE007003,1999,4,4.241463414634146,1.2941176470588236,0
NE007003,2000,4,3.971995332555426,3.142857142857143,0
NE007003,2001,4,1.4248639598158226,1.9130434782608696,0
NE007003,2002,4,1.7758186397984885,2.9333333333333336,0
NE007003,2003,4,1.1721224920802535,1.6296296296296295,0
NE007003,2004,4,3.269513991163476,3.666666666666667,0
NE007003,2005,4,1.2245822713112433,7.333333333333334,5
NE007003,2006,4,3.195861049519586,11.0,5
NE007003,2007,4,3.2034632034632033,3.3846153846153846,0
NE007003,2008,4,2.4754448398576514,2.2,0
NE007003,2009,4,2.905597326649958,4.888888888888888,0
NE007003,2010,4,1.165549597855228,1.3333333333333333,0
NE007003,2011,4,3.7248322147651,2.2,0
NE007003,2012,4,1.607530774800869,1.3333333333333333,0
NE007003,2013,4,3.4454183266932277,1.5714285714285714,0
NE007003,2014,4,5.108695652173913,2.588235294117647,1
NE007003,2015,4,2.842741935483871,2.0952380952380953,0
NE007003,2016,4,1.3372093023255813,2.0,0
NE007003,2017,4,2.0018034265103695,2.444444444444444,0
NE007003,2018,4,1.5680793507664563,1.375,0
NE007003,2019,4,1.4116878876918053,1.7599999999999998,0
NE007003,2020,4,1.26354862657758,1.1891891891891893,0
NE007003,2021,4,1.408097165991903,1.4193548387096773,0
NE007003,2022,4,1.422680412371134,1.375,0
NE007003,2023,4,2.6387596899224808,1.4666666666666668,0
NE007003,2024,4,1.0820089001907183,1.1891891891891893,0
NE007003,2025,4,2.76,1.2941176470588236,0
