level,pcode,year,spi
2,NE004004,2025,-0.28170070749498227
2,NE004004,2024,2.1535662600902374
2,NE004004,2023,-0.15689508458061202
2,NE004004,2022,-0.6723902837577552
2,NE004004,2021,0.7196823310828963
2,NE004004,2020,1.2881570719932158
2,NE004004,2019,-0.9334927973403211
2,NE004004,2018,-0.05652553078095246
2,NE004004,2017,0.24149587828465557
2,NE004004,2016,0.8706833025285142
2,NE004004,2015,-2.4190589515687027
2,NE004004,2014,-0.16530578563240078
2,NE004004,2013,0.011551813782980355
2,NE004004,2012,0.5667340399249974
2,NE004004,2011,-0.3857741184334636
2,NE004004,2010,1.128040894222321
2,NE004004,2009,-0.7630682072245015
2,NE004004,2008,-0.387473568812266
2,NE004004,2007,-1.2079305407520418
2,NE004004,2006,-1.0837345597670276
2,NE004004,2005,0.4088505346633827
2,NE004004,2004,-1.650532545088906
2,NE004004,2003,0.7943179012215644
2,NE004004,2002,0.42566840625569535
2,NE004004,2001,1.2531745053984895
2,NE004004,2000,1.2168694665594035
2,NE004004,1999,0.22112577908236514
2,NE004004,1998,0.004492386292804643
2,NE004004,1997,0.676037462826564
2,NE004004,1996,-1.173689163362829
2,NE004004,1995,-0.5967696025810314
2,NE004004,1994,0.2800773536933305
2,NE004004,1993,-0.8225764094100072
2,NE004004,1992,-0.575370262678891
2,NE004004,1991,-0.1527573631694039
2,NE002006,2026,-0.48462228892208925
2,NE002006,2025,-0.19485670278540423
2,NE002006,2024,1.8900029677768138
2,NE002006,2023,0.029452750954538063
2,NE002006,2022,-0.17124913700244548
2,NE002006,2021,0.9876925908154399
2,NE002006,2020,0.26733555030642686
2,NE002006,2019,-0.5248074194124057
2,NE002006,2018,1.3034568386584298
2,NE002006,2017,-0.13761186798463237
2,NE002006,2016,0.6182867036364158
2,NE002006,2015,-1.7270547171044894
2,NE002006,2014,-1.6367744295008735
2,NE002006,2013,-1.1598092749978453
2,NE002006,2012,1.2772599714155093
2,NE002006,2011,-0.131611794111412
2,NE002006,2010,0.7879206180414963
2,NE002006,2009,-0.4826279121602912
2,NE002006,2008,0.7810813026815011
2,NE002006,2007,0.7655794117041399
2,NE002006,2006,-1.6521280408292303
2,NE002006,2005,0.28152547843412085
2,NE002006,2004,-1.3075596094714328
2,NE002006,2003,1.6412950219113782
2,NE002006,2002,-0.984826822033401
2,NE002006,2001,-0.16494991167081804
2,NE002006,2000,-0.3078670061885906
2,NE002006,1999,0.8332030310591693
2,NE002006,1998,-0.5486195789935946
2,NE002006,1997,-0.12336377141615923
2,NE002006,1996,-0.46925701524133795
2,NE002006,1995,0.025300898785687777
2,NE002006,1994,1.4408352887504088
2,NE002006,1993,-0.4557198293671888
2,NE002006,1992,0.22227146041216897
2,NE002006,1991,-0.21082407491352342
2,NE004002,2026,0.3872462058734783
2,NE004002,2025,0.33725182371217327
2,NE004002,2024,1.1394856663308963
2,NE004002,2023,0.14081482965560005
2,NE004002,2022,-0.6418827165699285
2,NE004002,2021,0.46824125390869487
2,NE004002,2020,-0.7507613935418984
2,NE004002,2019,-0.21015344724925364
2,NE004002,2018,-0.580562727303369
2,NE004002,2017,0.6021092390781624
2,NE004002,2016,1.3586895480934231
2,NE004002,2015,-0.24151507549015003
2,NE004002,2014,0.2612701942451648
2,NE004002,2013,-0.7676658161151967
2,NE004002,2012,1.2298849181565268
2,NE004002,2011,0.24766850208113264
2,NE004002,2010,1.4013261258303074
2,NE004002,2009,-0.6131813017714592
2,NE004002,2008,0.7030273923115528
