pcode,year,junjul_mm,n_months
NE003001,1993,89.16395650000001,2
NE003001,1994,123.94636599999998,2
NE003001,1995,89.84771330000001,2
NE003001,1996,83.4445045,2
NE003001,1997,79.86317840000001,2
NE003001,1998,133.0260149,2
NE003001,1999,84.80510070000001,2
NE003001,2000,97.851332,2
NE003001,2001,188.93471200000002,2
NE003001,2002,115.28403879999999,2
NE003001,2003,89.43795610000001,2
NE003001,2004,85.48647890000001,2
NE003001,2005,110.75231209999998,2
NE003001,2006,78.9842656,2
NE003001,2007,97.8419265,2
NE003001,2008,117.16528980000001,2
NE003001,2009,87.2942704,2
NE003001,2010,117.3817133,2
NE003001,2011,55.1903048,2
NE003001,2012,110.51701120000001,2
NE003001,2013,85.7603637,2
NE003001,2014,88.6506756,2
NE003001,2015,77.912696,2
NE003001,2016,175.1697788,2
NE003001,2017,127.09561029999999,2
NE003001,2018,80.1982093,2
NE003001,2019,96.9791242,2
NE003001,2020,57.571485,2
NE003001,2021,61.9532522,2
NE003001,2022,108.53897380000001,2
NE003001,2023,66.4669063,2
NE003001,2024,146.608506,2
NE003001,2025,135.1099458,2
NE003001,2026,59.6611099,2
NE003002,1981,196.3594376,2
NE003002,1982,127.1904127,2
NE003002,1983,129.548209,2
NE003002,1984,131.6499543,2
NE003002,1985,149.52195920000003,2
NE003002,1986,163.892004,2
NE003002,1987,114.803079,2
NE003002,1988,226.82629740000002,2
NE003002,1989,149.99038910000002,2
NE003002,1990,115.93063369999999,2
NE003002,1991,168.34142640000002,2
NE003002,1992,134.5941202,2
NE003002,1993,138.6314685,2
NE003002,1994,140.2129365,2
NE003002,1995,118.77067550000001,2
NE003002,1996,128.68465070000002,2
NE003002,1997,126.46382960000001,2
NE003002,1998,159.652309,2
NE003002,1999,145.0838347,2
NE003002,2000,161.131867,2
NE003002,2001,218.7856477,2
NE003002,2002,156.5942194,2
NE003002,2003,121.97681600000001,2
NE003002,2004,103.5204872,2
NE003002,2005,159.3791743,2
NE003002,2006,118.6629677,2
NE003002,2007,119.96382419999999,2
NE003002,2008,201.0791934,2
NE003002,2009,100.9923996,2
NE003002,2010,153.8877272,2
NE003002,2011,64.218756,2
NE003002,2012,147.9456792,2
NE003002,2013,113.55894659999998,2
NE003002,2014,131.45006310000002,2
NE003002,2015,111.24256480000001,2
NE003002,2016,213.42200099999997,2
NE003002,2017,160.60517760000002,2
NE003002,2018,138.7352838,2
NE003002,2019,134.3922866,2
NE003002,2020,88.3952558,2
NE003002,2021,128.2454549,2
NE003002,2022,180.0259966,2
NE003002,2023,90.4245151,2
NE003002,2024,178.33067549999998,2
NE003002,2025,151.774383,2
NE003002,2026,97.1725608,2
NE003003,1981,118.4185467,2
NE003003,1982,74.9136783,2
NE003003,1983,77.9669698,2
NE003003,1984,53.246945,2
NE003003,1985,72.637421,2
NE003003,1986,81.604896,2
NE003003,1987,48.795074400000004,2
NE003003,1988,118.8087607,2
NE003003,1989,42.41910684,2
NE003003,1990,103.20253539999999,2
NE003003,1991,76.5773077,2
NE003003,1992,60.474592,2
NE003003,1993,70.8786333,2
NE003003,1994,69.7259112,2
NE003003,1995,67.6491748,2
NE003003,1996,47.0584263,2
NE003003,1997,56.893155199999995,2
NE003003,1998,86.54506989999999,2
NE003003,1999,68.7088364,2
NE003003,2000,125.86639699999999,2
NE003003,2001,129.6881149,2
NE003003,2002,85.4672875,2
NE003003,2003,70.2384019,2
NE003003,2004,55.377661100000005,2
NE003003,2005,86.12019190000001,2
NE003003,2006,49.2486601,2
NE003003,2007,66.6343998,2
NE003003,2008,85.50286840000001,2
NE003003,2009,47.32672205,2
NE003003,2010,119.5996243,2
NE003003,2011,44.39651764,2
NE003003,2012,76.8752571,2
NE003003,2013,57.048772699999994,2
NE003003,2014,68.9527949,2
NE003003,2015,60.10760020000001,2
NE003003,2016,116.8501471,2
NE003003,2017,117.76599920000001,2
NE003003,2018,85.52911780000001,2
NE003003,2019,59.250495599999994,2
NE003003,2020,67.7632777,2
NE003003,2021,48.5033815,2
NE003003,2022,72.2882537,2
NE003003,2023,33.406348300000005,2
NE003003,2024,52.2616174,2
NE003003,2025,91.3807057,2
NE003003,2026,30.114460200000003,2
NE003004,1981,163.207767,2
NE003004,1982,119.3344343,2
NE003004,1983,102.1384293,2
NE003004,1984,99.82645489999999,2
NE003004,1985,123.7212185,2
NE003004,1986,157.00206649999998,2
NE003004,1987,101.65188,2
NE003004,1988,184.4544212,2
NE003004,1989,113.56728670000001,2
NE003004,1990,98.8549936,2
NE003004,1991,159.1964759,2
NE003004,1992,119.69869029999998,2
NE003004,1993,114.770777,2
NE003004,1994,127.48501759999999,2
NE003004,1995,104.7103579,2
NE003004,1996,105.88787160000001,2
NE003004,1997,98.21971070000001,2
NE003004,1998,152.2852322,2
NE003004,1999,109.8255595,2
NE003004,2000,124.420662,2
NE003004,2001,203.50047949999998,2
NE003004,2002,133.9601109,2
NE003004,2003,103.05558059999998,2
NE003004,2004,102.8513749,2
NE003004,2005,137.4102814,2
NE003004,2006,100.13176149999998,2
NE003004,2007,113.192001,2
NE003004,2008,151.22880579999998,2
NE003004,2009,88.903084,2
NE003004,2010,141.760872,2
NE003004,2011,64.1369229,2
NE003004,2012,125.95660360000001,2
NE003004,2013,105.6973969,2
NE003004,2014,110.61398940000001,2
NE003004,2015,95.6541165,2
NE003004,2016,186.79796200000004,2
NE003004,2017,147.9609375,2
NE003004,2018,110.6149217,2
NE003004,2019,112.45256400000001,2
NE003004,2020,72.90187259999999,2
NE003004,2021,103.83699279999999,2
NE003004,2022,125.93779570000001,2
NE003004,2023,81.97360789999999,2
NE003004,2024,154.7399059,2
NE003004,2025,158.385509,2
NE003004,2026,70.44207990000001,2
NE003005,1981,179.21385780000003,2
NE003005,1982,123.3687885,2
NE003005,1983,98.2887513,2
NE003005,1984,106.16485329999999,2
NE003005,1985,144.3356842,2
NE003005,1986,185.71907750000003,2
NE003005,1987,118.5671709,2
NE003005,1988,196.4243993,2
NE003005,1989,139.1045281,2
NE003005,1990,95.29502649999999,2
NE003005,1991,232.0990247,2
NE003005,1992,152.2831847,2
NE003005,1993,131.74231609999998,2
NE003005,1994,163.0947354,2
NE003005,1995,116.4911204,2
NE003005,1996,110.207111,2
NE003005,1997,115.7210615,2
NE003005,1998,166.8980675,2
NE003005,1999,120.0911081,2
NE003005,2000,149.1770038,2
NE003005,2001,223.2389574,2
NE003005,2002,146.0835197,2
NE003005,2003,127.760207,2
NE003005,2004,113.8987248,2
NE003005,2005,139.7933583,2
NE003005,2006,119.285232,2
NE003005,2007,121.37140169999999,2
NE003005,2008,159.0353556,2
NE003005,2009,126.09638,2
NE003005,2010,139.5699207,2
NE003005,2011,64.1659732,2
NE003005,2012,145.62922020000002,2
NE003005,2013,113.236095,2
NE003005,2014,126.3661697,2
NE003005,2015,114.99011519999999,2
NE003005,2016,240.5044747,2
NE003005,2017,144.9845006,2
NE003005,2018,110.5711813,2
NE003005,2019,134.724244,2
NE003005,2020,82.1362743,2
NE003005,2021,143.70358019999998,2
NE003005,2022,169.1732266,2
NE003005,2023,94.3082278,2
NE003005,2024,198.1352213,2
NE003005,2025,165.26382360000002,2
NE003005,2026,70.4225464,2
NE003006,1981,224.83838500000002,2
NE003006,1982,200.69095400000003,2
NE003006,1983,150.059325,2
NE003006,1984,140.782076,2
NE003006,1985,194.8606773,2
NE003006,1986,212.21151299999997,2
NE003006,1987,155.5563462,2
NE003006,1988,287.245705,2
NE003006,1989,186.3281245,2
NE003006,1990,136.5188367,2
NE003006,1991,277.9782334,2
NE003006,1992,194.9135037,2
NE003006,1993,195.47483999999997,2
NE003006,1994,207.63323839999998,2
NE003006,1995,148.093156,2
NE003006,1996,178.3942793,2
NE003006,1997,161.31465050000003,2
NE003006,1998,222.6948857,2
NE003006,1999,188.862472,2
NE003006,2000,222.884197,2
NE003006,2001,308.596612,2
NE003006,2002,207.6760855,2
NE003006,2003,179.743948,2
NE003006,2004,140.3306669,2
NE003006,2005,189.662692,2
NE003006,2006,156.731766,2
NE003006,2007,187.5235996,2
NE003006,2008,264.67850699999997,2
NE003006,2009,191.941427,2
NE003006,2010,176.2730353,2
NE003006,2011,92.3576583,2
NE003006,2012,244.432341,2
NE003006,2013,179.7774573,2
NE003006,2014,165.013823,2
NE003006,2015,154.0364782,2
NE003006,2016,255.7778213,2
NE003006,2017,194.6388475,2
NE003006,2018,188.1267886,2
NE003006,2019,179.406232,2
NE003006,2020,169.56516069999998,2
NE003006,2021,238.2458153,2
NE003006,2022,264.7194757,2
NE003006,2023,134.1658512,2
NE003006,2024,259.5809655,2
NE003006,2025,209.1631252,2
NE003006,2026,119.6506612,2
NE003007,1981,129.1863922,2
NE003007,1982,101.3503619,2
NE003007,1983,80.2556284,2
NE003007,1984,59.7770302,2
NE003007,1985,78.8201983,2
NE003007,1986,99.3711168,2
